"item","category","company","number_per_case","metric","month","day","amount"
"1800 Tequila","tequila","Empire",6,"order","5","21",0
"1800 Tequila","tequila","Empire",6,"oh","5","21",38
"1800 Tequila","tequila","Empire",6,"thru","5","21",NA
"1800 Tequila","tequila","Empire",6,"order","5","28",1
"1800 Tequila","tequila","Empire",6,"oh","5","28",29
"1800 Tequila","tequila","Empire",6,"thru","5","28",10
"1800 Tequila","tequila","Empire",6,"order","6","4",NA
"1800 Tequila","tequila","Empire",6,"oh","6","4",30
"1800 Tequila","tequila","Empire",6,"thru","6","4",NA
"1800 Tequila","tequila","Empire",6,"order","6","11",1
"1800 Tequila","tequila","Empire",6,"oh","6","11",25
"1800 Tequila","tequila","Empire",6,"thru","6","11",6
"1800 Tequila","tequila","Empire",6,"order","6","18",NA
"1800 Tequila","tequila","Empire",6,"oh","6","18",18
"1800 Tequila","tequila","Empire",6,"thru","6","18",7
"1800 Tequila","tequila","Empire",6,"order","6","25",37
"1800 Tequila","tequila","Empire",6,"oh","6","25",33
"1800 Tequila","tequila","Empire",6,"thru","6","25",22
"1800 Tequila","tequila","Empire",6,"order","7","9",52
"1800 Tequila","tequila","Empire",6,"oh","7","9",77
"1800 Tequila","tequila","Empire",6,"thru","7","9",8
"1800 Tequila","tequila","Empire",6,"order","7","16",NA
"1800 Tequila","tequila","Empire",6,"oh","7","16",68
"1800 Tequila","tequila","Empire",6,"thru","7","16",9
"1800 Tequila","tequila","Empire",6,"order","7","23",NA
"1800 Tequila","tequila","Empire",6,"oh","7","23",114
"1800 Tequila","tequila","Empire",6,"thru","7","23",NA
"1800 Tequila","tequila","Empire",6,"order","7","30",NA
"1800 Tequila","tequila","Empire",6,"oh","7","30",114
"1800 Tequila","tequila","Empire",6,"thru","7","30",0
"1800 Tequila","tequila","Empire",6,"order","8","6",NA
"1800 Tequila","tequila","Empire",6,"oh","8","6",116
"1800 Tequila","tequila","Empire",6,"thru","8","6",NA
"1800 Tequila","tequila","Empire",6,"order","8","13",NA
"1800 Tequila","tequila","Empire",6,"oh","8","13",114
"1800 Tequila","tequila","Empire",6,"thru","8","13",2
"1800 Tequila","tequila","Empire",6,"order","8","20",0
"1800 Tequila","tequila","Empire",6,"oh","8","20",90
"1800 Tequila","tequila","Empire",6,"thru","8","20",24
"1800 Tequila","tequila","Empire",6,"order","8","29",0
"1800 Tequila","tequila","Empire",6,"oh","8","29",103
"1800 Tequila","tequila","Empire",6,"thru","8","29",NA
"1800 Tequila","tequila","Empire",6,"order","9","6",NA
"1800 Tequila","tequila","Empire",6,"oh","9","6",111
"1800 Tequila","tequila","Empire",6,"thru","9","6",NA
"1800 Tequila","tequila","Empire",6,"order","9","12",0
"1800 Tequila","tequila","Empire",6,"oh","9","12",96
"1800 Tequila","tequila","Empire",6,"thru","9","12",15
"1800 Tequila","tequila","Empire",6,"order","9","26",0
"1800 Tequila","tequila","Empire",6,"oh","9","26",91
"1800 Tequila","tequila","Empire",6,"thru","9","26",5
"818 blanco","tequila","Southern",6,"oh","leftover","2022",15
"818 blanco","tequila","Southern",6,"opening","order","2023",NA
"818 blanco","tequila","Southern",6,"oh","4","30",5
"818 blanco","tequila","Southern",6,"thru","4","30",10
"818 blanco","tequila","Southern",6,"order","5","7",NA
"818 blanco","tequila","Southern",6,"oh","5","7",4
"818 blanco","tequila","Southern",6,"thru","5","7",1
"818 blanco","tequila","Southern",6,"order","5","14",2
"818 blanco","tequila","Southern",6,"oh","5","14",4
"818 blanco","tequila","Southern",6,"thru","5","14",2
"818 blanco","tequila","Southern",6,"order","5","21",3
"818 blanco","tequila","Southern",6,"oh","5","21",2
"818 blanco","tequila","Southern",6,"thru","5","21",5
"818 blanco","tequila","Southern",6,"order","5","28",NA
"818 blanco","tequila","Southern",6,"oh","5","28",5
"818 blanco","tequila","Southern",6,"thru","5","28",NA
"818 blanco","tequila","Southern",6,"order","6","4",NA
"818 blanco","tequila","Southern",6,"oh","6","4",4
"818 blanco","tequila","Southern",6,"thru","6","4",1
"818 blanco","tequila","Southern",6,"order","6","11",28
"818 blanco","tequila","Southern",6,"oh","6","11",27
"818 blanco","tequila","Southern",6,"thru","6","11",5
"818 blanco","tequila","Southern",6,"order","6","18",NA
"818 blanco","tequila","Southern",6,"oh","6","18",25
"818 blanco","tequila","Southern",6,"thru","6","18",2
"818 blanco","tequila","Southern",6,"order","6","25",1
"818 blanco","tequila","Southern",6,"oh","6","25",25
"818 blanco","tequila","Southern",6,"thru","6","25",1
"818 blanco","tequila","Southern",6,"order","7","9",0
"818 blanco","tequila","Southern",6,"oh","7","9",19
"818 blanco","tequila","Southern",6,"thru","7","9",6
"818 blanco","tequila","Southern",6,"order","7","16",NA
"818 blanco","tequila","Southern",6,"oh","7","16",22
"818 blanco","tequila","Southern",6,"thru","7","16",NA
"818 blanco","tequila","Southern",6,"order","7","23",NA
"818 blanco","tequila","Southern",6,"oh","7","23",16
"818 blanco","tequila","Southern",6,"thru","7","23",6
"818 blanco","tequila","Southern",6,"order","7","30",NA
"818 blanco","tequila","Southern",6,"oh","7","30",18
"818 blanco","tequila","Southern",6,"thru","7","30",NA
"818 blanco","tequila","Southern",6,"order","8","6",NA
"818 blanco","tequila","Southern",6,"oh","8","6",16
"818 blanco","tequila","Southern",6,"thru","8","6",2
"818 blanco","tequila","Southern",6,"order","8","13",NA
"818 blanco","tequila","Southern",6,"oh","8","13",16
"818 blanco","tequila","Southern",6,"thru","8","13",0
"818 blanco","tequila","Southern",6,"order","8","20",4
"818 blanco","tequila","Southern",6,"oh","8","20",18
"818 blanco","tequila","Southern",6,"thru","8","20",2
"818 blanco","tequila","Southern",6,"order","8","29",0
"818 blanco","tequila","Southern",6,"oh","8","29",17
"818 blanco","tequila","Southern",6,"thru","8","29",1
"818 blanco","tequila","Southern",6,"order","9","6",NA
"818 blanco","tequila","Southern",6,"oh","9","6",8
"818 blanco","tequila","Southern",6,"thru","9","6",9
"818 blanco","tequila","Southern",6,"order","9","12",0
"818 blanco","tequila","Southern",6,"oh","9","12",8
"818 blanco","tequila","Southern",6,"thru","9","12",0
"818 blanco","tequila","Southern",6,"order","9","26",0
"818 blanco","tequila","Southern",6,"oh","9","26",8
"818 blanco","tequila","Southern",6,"thru","9","26",0
"818 repasado","tequila","Southern",6,"oh","leftover","2022",2
"818 repasado","tequila","Southern",6,"opening","order","2023",NA
"818 repasado","tequila","Southern",6,"oh","4","30",3
"818 repasado","tequila","Southern",6,"thru","4","30",NA
"818 repasado","tequila","Southern",6,"order","5","7",NA
"818 repasado","tequila","Southern",6,"oh","5","7",2
"818 repasado","tequila","Southern",6,"thru","5","7",1
"818 repasado","tequila","Southern",6,"order","5","14",8
"818 repasado","tequila","Southern",6,"oh","5","14",12
"818 repasado","tequila","Southern",6,"thru","5","14",NA
"818 repasado","tequila","Southern",6,"order","5","21",2
"818 repasado","tequila","Southern",6,"oh","5","21",12
"818 repasado","tequila","Southern",6,"thru","5","21",2
"818 repasado","tequila","Southern",6,"order","5","28",NA
"818 repasado","tequila","Southern",6,"oh","5","28",5
"818 repasado","tequila","Southern",6,"thru","5","28",7
"818 repasado","tequila","Southern",6,"order","6","4",NA
"818 repasado","tequila","Southern",6,"oh","6","4",19
"818 repasado","tequila","Southern",6,"thru","6","4",NA
"818 repasado","tequila","Southern",6,"order","6","11",4
"818 repasado","tequila","Southern",6,"oh","6","11",15
"818 repasado","tequila","Southern",6,"thru","6","11",8
"818 repasado","tequila","Southern",6,"order","6","18",NA
"818 repasado","tequila","Southern",6,"oh","6","18",8
"818 repasado","tequila","Southern",6,"thru","6","18",7
"818 repasado","tequila","Southern",6,"order","6","25",53
"818 repasado","tequila","Southern",6,"oh","6","25",25
"818 repasado","tequila","Southern",6,"thru","6","25",36
"818 repasado","tequila","Southern",6,"order","7","9",61
"818 repasado","tequila","Southern",6,"oh","7","9",85
"818 repasado","tequila","Southern",6,"thru","7","9",1
"818 repasado","tequila","Southern",6,"order","7","16",NA
"818 repasado","tequila","Southern",6,"oh","7","16",80
"818 repasado","tequila","Southern",6,"thru","7","16",5
"818 repasado","tequila","Southern",6,"order","7","23",NA
"818 repasado","tequila","Southern",6,"oh","7","23",78
"818 repasado","tequila","Southern",6,"thru","7","23",2
"818 repasado","tequila","Southern",6,"order","7","30",NA
"818 repasado","tequila","Southern",6,"oh","7","30",87
"818 repasado","tequila","Southern",6,"thru","7","30",NA
"818 repasado","tequila","Southern",6,"order","8","6",NA
"818 repasado","tequila","Southern",6,"oh","8","6",73
"818 repasado","tequila","Southern",6,"thru","8","6",14
"818 repasado","tequila","Southern",6,"order","8","13",NA
"818 repasado","tequila","Southern",6,"oh","8","13",67
"818 repasado","tequila","Southern",6,"thru","8","13",6
"818 repasado","tequila","Southern",6,"order","8","20",1
"818 repasado","tequila","Southern",6,"oh","8","20",60
"818 repasado","tequila","Southern",6,"thru","8","20",8
"818 repasado","tequila","Southern",6,"order","8","29",0
"818 repasado","tequila","Southern",6,"oh","8","29",49
"818 repasado","tequila","Southern",6,"thru","8","29",11
"818 repasado","tequila","Southern",6,"order","9","6",NA
"818 repasado","tequila","Southern",6,"oh","9","6",41
"818 repasado","tequila","Southern",6,"thru","9","6",8
"818 repasado","tequila","Southern",6,"order","9","12",0
"818 repasado","tequila","Southern",6,"oh","9","12",50
"818 repasado","tequila","Southern",6,"thru","9","12",NA
"818 repasado","tequila","Southern",6,"order","9","26",0
"818 repasado","tequila","Southern",6,"oh","9","26",46
"818 repasado","tequila","Southern",6,"thru","9","26",4
"Absolut","vodka","Southern",6,"oh","leftover","2022",62
"Absolut","vodka","Southern",6,"opening","order","2023",3
"Absolut","vodka","Southern",6,"oh","4","30",36
"Absolut","vodka","Southern",6,"thru","4","30",29
"Absolut","vodka","Southern",6,"order","5","7",NA
"Absolut","vodka","Southern",6,"oh","5","7",26
"Absolut","vodka","Southern",6,"thru","5","7",10
"Absolut","vodka","Southern",6,"order","5","14",19
"Absolut","vodka","Southern",6,"oh","5","14",40
"Absolut","vodka","Southern",6,"thru","5","14",5
"Absolut","vodka","Southern",6,"order","5","21",4
"Absolut","vodka","Southern",6,"oh","5","21",37
"Absolut","vodka","Southern",6,"thru","5","21",7
"Absolut","vodka","Southern",6,"order","5","28",4
"Absolut","vodka","Southern",6,"oh","5","28",15
"Absolut","vodka","Southern",6,"thru","5","28",26
"Absolut","vodka","Southern",6,"order","6","4",NA
"Absolut","vodka","Southern",6,"oh","6","4",36
"Absolut","vodka","Southern",6,"thru","6","4",NA
"Absolut","vodka","Southern",6,"order","6","11",4
"Absolut","vodka","Southern",6,"oh","6","11",30
"Absolut","vodka","Southern",6,"thru","6","11",10
"Absolut","vodka","Southern",6,"order","6","18",NA
"Absolut","vodka","Southern",6,"oh","6","18",32
"Absolut","vodka","Southern",6,"thru","6","18",NA
"Absolut","vodka","Southern",6,"order","6","25",3
"Absolut","vodka","Southern",6,"oh","6","25",28
"Absolut","vodka","Southern",6,"thru","6","25",7
"Absolut","vodka","Southern",6,"order","7","9",3
"Absolut","vodka","Southern",6,"oh","7","9",30
"Absolut","vodka","Southern",6,"thru","7","9",NA
"Absolut","vodka","Southern",6,"order","7","16",NA
"Absolut","vodka","Southern",6,"oh","7","16",77
"Absolut","vodka","Southern",6,"thru","7","16",NA
"Absolut","vodka","Southern",6,"order","7","23",NA
"Absolut","vodka","Southern",6,"oh","7","23",27
"Absolut","vodka","Southern",6,"thru","7","23",50
"Absolut","vodka","Southern",6,"order","7","30",18
"Absolut","vodka","Southern",6,"oh","7","30",36
"Absolut","vodka","Southern",6,"thru","7","30",9
"Absolut","vodka","Southern",6,"order","8","6",NA
"Absolut","vodka","Southern",6,"oh","8","6",50
"Absolut","vodka","Southern",6,"thru","8","6",NA
"Absolut","vodka","Southern",6,"order","8","13",NA
"Absolut","vodka","Southern",6,"oh","8","13",22
"Absolut","vodka","Southern",6,"thru","8","13",28
"Absolut","vodka","Southern",6,"order","8","20",3
"Absolut","vodka","Southern",6,"oh","8","20",21
"Absolut","vodka","Southern",6,"thru","8","20",4
"Absolut","vodka","Southern",6,"order","8","29",0
"Absolut","vodka","Southern",6,"oh","8","29",21
"Absolut","vodka","Southern",6,"thru","8","29",0
"Absolut","vodka","Southern",6,"order","9","6",NA
"Absolut","vodka","Southern",6,"oh","9","6",19
"Absolut","vodka","Southern",6,"thru","9","6",2
"Absolut","vodka","Southern",6,"order","9","12",0
"Absolut","vodka","Southern",6,"oh","9","12",17
"Absolut","vodka","Southern",6,"thru","9","12",2
"Absolut","vodka","Southern",6,"order","9","26",0
"Absolut","vodka","Southern",6,"oh","9","26",7
"Absolut","vodka","Southern",6,"thru","9","26",10
"Absolut Mango","vodka","Southern",12,"oh","leftover","2022",51
"Absolut Mango","vodka","Southern",12,"opening","order","2023",0
"Absolut Mango","vodka","Southern",12,"oh","4","30",99
"Absolut Mango","vodka","Southern",12,"thru","4","30",NA
"Absolut Mango","vodka","Southern",12,"order","5","7",NA
"Absolut Mango","vodka","Southern",12,"oh","5","7",92
"Absolut Mango","vodka","Southern",12,"thru","5","7",7
"Absolut Mango","vodka","Southern",12,"order","5","14",NA
"Absolut Mango","vodka","Southern",12,"oh","5","14",93
"Absolut Mango","vodka","Southern",12,"thru","5","14",NA
"Absolut Mango","vodka","Southern",12,"order","5","21",0
"Absolut Mango","vodka","Southern",12,"oh","5","21",83
"Absolut Mango","vodka","Southern",12,"thru","5","21",10
"Absolut Mango","vodka","Southern",12,"order","5","28",NA
"Absolut Mango","vodka","Southern",12,"oh","5","28",71
"Absolut Mango","vodka","Southern",12,"thru","5","28",12
"Absolut Mango","vodka","Southern",12,"order","6","4",NA
"Absolut Mango","vodka","Southern",12,"oh","6","4",53
"Absolut Mango","vodka","Southern",12,"thru","6","4",18
"Absolut Mango","vodka","Southern",12,"order","6","11",0
"Absolut Mango","vodka","Southern",12,"oh","6","11",48
"Absolut Mango","vodka","Southern",12,"thru","6","11",5
"Absolut Mango","vodka","Southern",12,"order","6","18",NA
"Absolut Mango","vodka","Southern",12,"oh","6","18",39
"Absolut Mango","vodka","Southern",12,"thru","6","18",9
"Absolut Mango","vodka","Southern",12,"order","6","25",2
"Absolut Mango","vodka","Southern",12,"oh","6","25",32
"Absolut Mango","vodka","Southern",12,"thru","6","25",9
"Absolut Mango","vodka","Southern",12,"order","7","9",1
"Absolut Mango","vodka","Southern",12,"oh","7","9",10
"Absolut Mango","vodka","Southern",12,"thru","7","9",23
"Absolut Mango","vodka","Southern",12,"order","7","16",NA
"Absolut Mango","vodka","Southern",12,"oh","7","16",55
"Absolut Mango","vodka","Southern",12,"thru","7","16",NA
"Absolut Mango","vodka","Southern",12,"order","7","23",NA
"Absolut Mango","vodka","Southern",12,"oh","7","23",53
"Absolut Mango","vodka","Southern",12,"thru","7","23",2
"Absolut Mango","vodka","Southern",12,"order","7","30",NA
"Absolut Mango","vodka","Southern",12,"oh","7","30",45
"Absolut Mango","vodka","Southern",12,"thru","7","30",8
"Absolut Mango","vodka","Southern",12,"order","8","6",NA
"Absolut Mango","vodka","Southern",12,"oh","8","6",31
"Absolut Mango","vodka","Southern",12,"thru","8","6",14
"Absolut Mango","vodka","Southern",12,"order","8","13",NA
"Absolut Mango","vodka","Southern",12,"oh","8","13",33
"Absolut Mango","vodka","Southern",12,"thru","8","13",NA
"Absolut Mango","vodka","Southern",12,"order","8","20",3
"Absolut Mango","vodka","Southern",12,"oh","8","20",48
"Absolut Mango","vodka","Southern",12,"thru","8","20",NA
"Absolut Mango","vodka","Southern",12,"order","8","29",0
"Absolut Mango","vodka","Southern",12,"oh","8","29",46
"Absolut Mango","vodka","Southern",12,"thru","8","29",2
"Absolut Mango","vodka","Southern",12,"order","9","6",NA
"Absolut Mango","vodka","Southern",12,"oh","9","6",40
"Absolut Mango","vodka","Southern",12,"thru","9","6",6
"Absolut Mango","vodka","Southern",12,"order","9","12",0
"Absolut Mango","vodka","Southern",12,"oh","9","12",38
"Absolut Mango","vodka","Southern",12,"thru","9","12",2
"Absolut Mango","vodka","Southern",12,"order","9","26",0
"Absolut Mango","vodka","Southern",12,"oh","9","26",42
"Absolut Mango","vodka","Southern",12,"thru","9","26",NA
"Absolut Pear","vodka","Southern",12,"oh","leftover","2022",18
"Absolut Pear","vodka","Southern",12,"opening","order","2023",2
"Absolut Pear","vodka","Southern",12,"oh","4","30",19
"Absolut Pear","vodka","Southern",12,"thru","4","30",1
"Absolut Pear","vodka","Southern",12,"order","5","7",NA
"Absolut Pear","vodka","Southern",12,"oh","5","7",20
"Absolut Pear","vodka","Southern",12,"thru","5","7",NA
"Absolut Pear","vodka","Southern",12,"order","5","14",4
"Absolut Pear","vodka","Southern",12,"oh","5","14",19
"Absolut Pear","vodka","Southern",12,"thru","5","14",5
"Absolut Pear","vodka","Southern",12,"order","5","21",0
"Absolut Pear","vodka","Southern",12,"oh","5","21",18
"Absolut Pear","vodka","Southern",12,"thru","5","21",1
"Absolut Pear","vodka","Southern",12,"order","5","28",2
"Absolut Pear","vodka","Southern",12,"oh","5","28",19
"Absolut Pear","vodka","Southern",12,"thru","5","28",1
"Absolut Pear","vodka","Southern",12,"order","6","4",NA
"Absolut Pear","vodka","Southern",12,"oh","6","4",17
"Absolut Pear","vodka","Southern",12,"thru","6","4",2
"Absolut Pear","vodka","Southern",12,"order","6","11",2
"Absolut Pear","vodka","Southern",12,"oh","6","11",18
"Absolut Pear","vodka","Southern",12,"thru","6","11",1
"Absolut Pear","vodka","Southern",12,"order","6","18",NA
"Absolut Pear","vodka","Southern",12,"oh","6","18",20
"Absolut Pear","vodka","Southern",12,"thru","6","18",NA
"Absolut Pear","vodka","Southern",12,"order","6","25",1
"Absolut Pear","vodka","Southern",12,"oh","6","25",18
"Absolut Pear","vodka","Southern",12,"thru","6","25",3
"Absolut Pear","vodka","Southern",12,"order","7","9",1
"Absolut Pear","vodka","Southern",12,"oh","7","9",18
"Absolut Pear","vodka","Southern",12,"thru","7","9",1
"Absolut Pear","vodka","Southern",12,"order","7","16",NA
"Absolut Pear","vodka","Southern",12,"oh","7","16",20
"Absolut Pear","vodka","Southern",12,"thru","7","16",NA
"Absolut Pear","vodka","Southern",12,"order","7","23",NA
"Absolut Pear","vodka","Southern",12,"oh","7","23",17
"Absolut Pear","vodka","Southern",12,"thru","7","23",3
"Absolut Pear","vodka","Southern",12,"order","7","30",NA
"Absolut Pear","vodka","Southern",12,"oh","7","30",19
"Absolut Pear","vodka","Southern",12,"thru","7","30",NA
"Absolut Pear","vodka","Southern",12,"order","8","6",NA
"Absolut Pear","vodka","Southern",12,"oh","8","6",26
"Absolut Pear","vodka","Southern",12,"thru","8","6",NA
"Absolut Pear","vodka","Southern",12,"order","8","13",NA
"Absolut Pear","vodka","Southern",12,"oh","8","13",29
"Absolut Pear","vodka","Southern",12,"thru","8","13",NA
"Absolut Pear","vodka","Southern",12,"order","8","20",0
"Absolut Pear","vodka","Southern",12,"oh","8","20",29
"Absolut Pear","vodka","Southern",12,"thru","8","20",0
"Absolut Pear","vodka","Southern",12,"order","8","29",0
"Absolut Pear","vodka","Southern",12,"oh","8","29",29
"Absolut Pear","vodka","Southern",12,"thru","8","29",0
"Absolut Pear","vodka","Southern",12,"order","9","6",NA
"Absolut Pear","vodka","Southern",12,"oh","9","6",30
"Absolut Pear","vodka","Southern",12,"thru","9","6",NA
"Absolut Pear","vodka","Southern",12,"order","9","12",0
"Absolut Pear","vodka","Southern",12,"oh","9","12",31
"Absolut Pear","vodka","Southern",12,"thru","9","12",NA
"Absolut Pear","vodka","Southern",12,"order","9","26",0
"Absolut Pear","vodka","Southern",12,"oh","9","26",30
"Absolut Pear","vodka","Southern",12,"thru","9","26",1
"Absolute Citron","vodka","Southern",12,"oh","leftover","2022",77
"Absolute Citron","vodka","Southern",12,"opening","order","2023",83
"Absolute Citron","vodka","Southern",12,"oh","4","30",81
"Absolute Citron","vodka","Southern",12,"thru","4","30",79
"Absolute Citron","vodka","Southern",12,"order","5","7",NA
"Absolute Citron","vodka","Southern",12,"oh","5","7",85
"Absolute Citron","vodka","Southern",12,"thru","5","7",NA
"Absolute Citron","vodka","Southern",12,"order","5","14",1
"Absolute Citron","vodka","Southern",12,"oh","5","14",62
"Absolute Citron","vodka","Southern",12,"thru","5","14",24
"Absolute Citron","vodka","Southern",12,"order","5","21",2
"Absolute Citron","vodka","Southern",12,"oh","5","21",82
"Absolute Citron","vodka","Southern",12,"thru","5","21",NA
"Absolute Citron","vodka","Southern",12,"order","5","28",4
"Absolute Citron","vodka","Southern",12,"oh","5","28",84
"Absolute Citron","vodka","Southern",12,"thru","5","28",2
"Absolute Citron","vodka","Southern",12,"order","6","4",NA
"Absolute Citron","vodka","Southern",12,"oh","6","4",84
"Absolute Citron","vodka","Southern",12,"thru","6","4",0
"Absolute Citron","vodka","Southern",12,"order","6","11",2
"Absolute Citron","vodka","Southern",12,"oh","6","11",80
"Absolute Citron","vodka","Southern",12,"thru","6","11",6
"Absolute Citron","vodka","Southern",12,"order","6","18",NA
"Absolute Citron","vodka","Southern",12,"oh","6","18",79
"Absolute Citron","vodka","Southern",12,"thru","6","18",1
"Absolute Citron","vodka","Southern",12,"order","6","25",2
"Absolute Citron","vodka","Southern",12,"oh","6","25",81
"Absolute Citron","vodka","Southern",12,"thru","6","25",0
"Absolute Citron","vodka","Southern",12,"order","7","9",1
"Absolute Citron","vodka","Southern",12,"oh","7","9",19
"Absolute Citron","vodka","Southern",12,"thru","7","9",63
"Absolute Citron","vodka","Southern",12,"order","7","16",NA
"Absolute Citron","vodka","Southern",12,"oh","7","16",16
"Absolute Citron","vodka","Southern",12,"thru","7","16",3
"Absolute Citron","vodka","Southern",12,"order","7","23",NA
"Absolute Citron","vodka","Southern",12,"oh","7","23",16
"Absolute Citron","vodka","Southern",12,"thru","7","23",0
"Absolute Citron","vodka","Southern",12,"order","7","30",NA
"Absolute Citron","vodka","Southern",12,"oh","7","30",9
"Absolute Citron","vodka","Southern",12,"thru","7","30",7
"Absolute Citron","vodka","Southern",12,"order","8","6",NA
"Absolute Citron","vodka","Southern",12,"oh","8","6",1
"Absolute Citron","vodka","Southern",12,"thru","8","6",8
"Absolute Citron","vodka","Southern",12,"order","8","13",NA
"Absolute Citron","vodka","Southern",12,"oh","8","13",2
"Absolute Citron","vodka","Southern",12,"thru","8","13",NA
"Absolute Citron","vodka","Southern",12,"order","8","20",6
"Absolute Citron","vodka","Southern",12,"oh","8","20",3
"Absolute Citron","vodka","Southern",12,"thru","8","20",5
"Absolute Citron","vodka","Southern",12,"order","8","29",0
"Absolute Citron","vodka","Southern",12,"oh","8","29",14
"Absolute Citron","vodka","Southern",12,"thru","8","29",NA
"Absolute Citron","vodka","Southern",12,"order","9","6",18
"Absolute Citron","vodka","Southern",12,"oh","9","6",6
"Absolute Citron","vodka","Southern",12,"thru","9","6",26
"Absolute Citron","vodka","Southern",12,"order","9","12",0
"Absolute Citron","vodka","Southern",12,"oh","9","12",22
"Absolute Citron","vodka","Southern",12,"thru","9","12",NA
"Absolute Citron","vodka","Southern",12,"order","9","26",0
"Absolute Citron","vodka","Southern",12,"oh","9","26",14
