"item","category","company","number_per_case","metric","month","day","amount"
"1800 Coconut Tequila","tequila","Empire",6,"oh","leftover","2022",9
"1800 Coconut Tequila","tequila","Empire",6,"opening","order","2023",44
"1800 Coconut Tequila","tequila","Empire",6,"oh","4","30",25
"1800 Coconut Tequila","tequila","Empire",6,"thru","4","30",28
"1800 Coconut Tequila","tequila","Empire",6,"order","5","7",NA
"1800 Coconut Tequila","tequila","Empire",6,"oh","5","7",19
"1800 Coconut Tequila","tequila","Empire",6,"thru","5","7",6
"1800 Coconut Tequila","tequila","Empire",6,"order","5","14",NA
"1800 Coconut Tequila","tequila","Empire",6,"oh","5","14",12
"1800 Coconut Tequila","tequila","Empire",6,"thru","5","14",7
"1800 Coconut Tequila","tequila","Empire",6,"order","5","21",9
"1800 Coconut Tequila","tequila","Empire",6,"oh","5","21",24
"1800 Coconut Tequila","tequila","Empire",6,"thru","5","21",NA
"1800 Coconut Tequila","tequila","Empire",6,"order","5","28",0
"1800 Coconut Tequila","tequila","Empire",6,"oh","5","28",14
"1800 Coconut Tequila","tequila","Empire",6,"thru","5","28",10
"1800 Coconut Tequila","tequila","Empire",6,"order","6","4",NA
"1800 Coconut Tequila","tequila","Empire",6,"oh","6","4",0
"1800 Coconut Tequila","tequila","Empire",6,"thru","6","4",14
"1800 Coconut Tequila","tequila","Empire",6,"order","6","11",45
"1800 Coconut Tequila","tequila","Empire",6,"oh","6","11",37
"1800 Coconut Tequila","tequila","Empire",6,"thru","6","11",8
"1800 Coconut Tequila","tequila","Empire",6,"order","6","18",1
"1800 Coconut Tequila","tequila","Empire",6,"oh","6","18",20
"1800 Coconut Tequila","tequila","Empire",6,"thru","6","18",18
"1800 Coconut Tequila","tequila","Empire",6,"order","6","25",51
"1800 Coconut Tequila","tequila","Empire",6,"oh","6","25",36
"1800 Coconut Tequila","tequila","Empire",6,"thru","6","25",35
"1800 Coconut Tequila","tequila","Empire",6,"order","7","9",70
"1800 Coconut Tequila","tequila","Empire",6,"oh","7","9",71
"1800 Coconut Tequila","tequila","Empire",6,"thru","7","9",35
"1800 Coconut Tequila","tequila","Empire",6,"order","7","16",NA
"1800 Coconut Tequila","tequila","Empire",6,"oh","7","16",113
"1800 Coconut Tequila","tequila","Empire",6,"thru","7","16",NA
"1800 Coconut Tequila","tequila","Empire",6,"order","7","23",NA
"1800 Coconut Tequila","tequila","Empire",6,"oh","7","23",103
"1800 Coconut Tequila","tequila","Empire",6,"thru","7","23",10
"1800 Coconut Tequila","tequila","Empire",6,"order","7","30",NA
"1800 Coconut Tequila","tequila","Empire",6,"oh","7","30",96
"1800 Coconut Tequila","tequila","Empire",6,"thru","7","30",7
"1800 Coconut Tequila","tequila","Empire",6,"order","8","6",NA
"1800 Coconut Tequila","tequila","Empire",6,"oh","8","6",87
"1800 Coconut Tequila","tequila","Empire",6,"thru","8","6",9
"1800 Coconut Tequila","tequila","Empire",6,"order","8","13",NA
"1800 Coconut Tequila","tequila","Empire",6,"oh","8","13",78
"1800 Coconut Tequila","tequila","Empire",6,"thru","8","13",9
"1800 Coconut Tequila","tequila","Empire",6,"order","8","20",1
"1800 Coconut Tequila","tequila","Empire",6,"oh","8","20",58
"1800 Coconut Tequila","tequila","Empire",6,"thru","8","20",21
"1800 Coconut Tequila","tequila","Empire",6,"order","8","29",0
"1800 Coconut Tequila","tequila","Empire",6,"oh","8","29",68
"1800 Coconut Tequila","tequila","Empire",6,"thru","8","29",NA
"1800 Coconut Tequila","tequila","Empire",6,"order","9","6",NA
"1800 Coconut Tequila","tequila","Empire",6,"oh","9","6",59
"1800 Coconut Tequila","tequila","Empire",6,"thru","9","6",9
"1800 Coconut Tequila","tequila","Empire",6,"order","9","12",0
"1800 Coconut Tequila","tequila","Empire",6,"oh","9","12",55
"1800 Coconut Tequila","tequila","Empire",6,"thru","9","12",4
"1800 Coconut Tequila","tequila","Empire",6,"order","9","26",0
"1800 Coconut Tequila","tequila","Empire",6,"oh","9","26",50
"1800 Coconut Tequila","tequila","Empire",6,"thru","9","26",5
"1800 Tequila","tequila","Empire",6,"oh","leftover","2022",12
"1800 Tequila","tequila","Empire",6,"opening","order","2023",26
"1800 Tequila","tequila","Empire",6,"oh","4","30",12
"1800 Tequila","tequila","Empire",6,"thru","4","30",26
"1800 Tequila","tequila","Empire",6,"order","5","7",NA
"1800 Tequila","tequila","Empire",6,"oh","5","7",15
"1800 Tequila","tequila","Empire",6,"thru","5","7",NA
"1800 Tequila","tequila","Empire",6,"order","5","14",29
"1800 Tequila","tequila","Empire",6,"oh","5","14",36
"1800 Tequila","tequila","Empire",6,"thru","5","14",8
